"Player","Born","minAge","MP","Starts","Min","Full90s","G","A","NPG","PK","G90","NPG90","A90","NPG+A90","Over27"
"Alberto",1969,29,156,152,13787,153.2,0,0,0,0,0,0,0,0,"*"
"Alberto",1977,24,8,5,516,5.7,0,0,0,0,0,0,0,0,""
"Alberto Aguilar",1984,18,35,16,1670,18.6,0,0,0,0,0,0,0,0,""
"Alberto Albístegui",1964,33,19,14,1274,14.2,0,0,0,0,0,0,0,0,"*"
"Alberto Alejandro",1979,20,6,0,42,0.4,0,0,0,0,0,0,0,0,""
"Alberto Aquilani",1984,18,303,218,19630,217.9,27,29,26,1,0.1237901171676006,0.11920529801324503,0.13295975547631178,0.2521650534895568,""
"Alberto Belsué",1968,30,43,40,3451,38.4,0,0,0,0,0,0,0,0,"*"
"Alberto Botía",1989,19,140,133,11962,132.9,3,2,3,0,0.022571476341748872,0.022571476341748872,0.015047650894499246,0.03761912723624812,""
"Alberto Brignoli",1991,23,15,12,1277,14.2,1,0,1,0,0.07047768206734534,0.07047768206734534,0,0.07047768206734534,""
"Alberto Bueno",1988,20,164,96,8913,98.9,36,14,33,3,0.3635139683608213,0.3332211376640862,0.1413665432514305,0.4745876809155167,""
"Alberto Cerri",1996,16,72,23,2417,26.8,5,0,5,0,0.18618121638394702,0.18618121638394702,0,0.18618121638394702,""
"Alberto Cifuentes",1979,41,2,2,180,2,0,0,0,0,0,0,0,0,"*"
